"anio","tipo_energia","valor_en_twh","porcentaje"
2001,"Petróleo","43366.16","34.988068606737"
2002,"Petróleo","43650.734","34.5667659296607"
2003,"Petróleo","44580.05","34.255663147241"
2004,"Petróleo","46367.14","34.1213434459452"
2005,"Petróleo","46965.55","33.5585961574153"
2006,"Petróleo","47468.766","33.0834994609625"
2007,"Petróleo","48022.76","32.5724679786581"
2008,"Petróleo","47628.992","31.9744093846093"
2009,"Petróleo","46566.066","31.7424909903313"
2010,"Petróleo","48058.23","31.3850606511553"
2011,"Petróleo","48400.316","30.9740351557545"
2012,"Petróleo","49164.34","31.0801223283484"
2013,"Petróleo","49654.363","30.9124114983519"
2014,"Petróleo","50011.83","30.8503598975234"
2015,"Petróleo","50977.21","31.2462804995915"
2016,"Petróleo","52060.85","31.605907533591"
2017,"Petróleo","52978.8","31.4669985312715"
2018,"Petróleo","53521.387","31.0036272226356"
2019,"Petróleo","53618.926","30.7346483634421"
2020,"Petróleo","48745.684","28.8814151888489"
2021,"Petróleo","51530.492","29.1396084145973"
2022,"Petróleo","53226.84","29.6001990635081"
2023,"Petróleo","54564","29.778954933664"
1800,"Eólica","0","0"
1810,"Eólica","0","0"
1820,"Eólica","0","0"
1830,"Eólica","0","0"
1840,"Eólica","0","0"
1850,"Eólica","0","0"
1860,"Eólica","0","0"
1870,"Eólica","0","0"
1880,"Eólica","0","0"
1890,"Eólica","0","0"
1900,"Eólica","0","0"
1910,"Eólica","0","0"
1920,"Eólica","0","0"
1930,"Eólica","0","0"
1940,"Eólica","0","0"
1950,"Eólica","0","0"
1960,"Eólica","0","0"
1965,"Eólica","0","0"
1966,"Eólica","0","0"
1967,"Eólica","0","0"
1968,"Eólica","0","0"
1969,"Eólica","0","0"
1970,"Eólica","0","0"
1971,"Eólica","0","0"
1972,"Eólica","0","0"
1973,"Eólica","0","0"
1974,"Eólica","0","0"
1975,"Eólica","0","0"
1976,"Eólica","0","0"
1977,"Eólica","0","0"
1978,"Eólica","0.008870971","1.03080055891149e-05"
1979,"Eólica","0.017741943","2.00143974900774e-05"
1980,"Eólica","0.031048333","3.52808951515208e-05"
1981,"Eólica","0.031048333","3.5376049341737e-05"
1982,"Eólica","0.054704163","6.25253396601303e-05"
1983,"Eólica","0.09697445","0.000109055079711647"
1984,"Eólica","0.13234167","0.000142978965027591"
1985,"Eólica","0.18989833","0.000200155248847484"
1986,"Eólica","0.4105228","0.000423825740667487"
1987,"Eólica","0.57772696","0.000577200053522706"
1988,"Eólica","0.980478","0.000947024085402893"
1989,"Eólica","7.835361","0.00743091806840532"
1990,"Eólica","10.741176","0.0100708821785441"
1991,"Eólica","12.082573","0.0112341814394019"
1992,"Eólica","13.994874","0.012928057071181"
1993,"Eólica","16.867165","0.0154510398842982"
1994,"Eólica","21.088448","0.0190768904563711"
1995,"Eólica","24.46058","0.0216767614867865"
1996,"Eólica","27.250431","0.0235128857028551"
1997,"Eólica","35.567307","0.0303762273644236"
1998,"Eólica","47.10265","0.0399714352367681"
1999,"Eólica","62.767708","0.0523751114175395"
2000,"Eólica","92.87769","0.0755914064870023"
2001,"Eólica","112.75232","0.0909692236464738"
2002,"Eólica","152.89377","0.121075699659332"
2003,"Eólica","183.53323","0.141028386087613"
2004,"Eólica","246.72241","0.18156177170775"
2005,"Eólica","299.59113","0.214068774751147"
2006,"Eólica","379.86957","0.264751241149413"
2007,"Eólica","484.9491","0.328927138528253"
2008,"Eólica","622.1818","0.417684581375417"
2009,"Eólica","773.0152","0.526937964254681"
2010,"Eólica","961.4859","0.627911042223791"
2011,"Eólica","1215.6805","0.777981088907874"
2012,"Eólica","1454.6155","0.919561366647284"
2013,"Eólica","1732.0547","1.07829371658749"
2014,"Eólica","1912.3323","1.17964369027606"
2015,"Eólica","2238.7305","1.37222106046978"
2016,"Eólica","2575.6736","1.56367984076925"
2017,"Eólica","3038.9753","1.80501316190005"
2018,"Eólica","3361.3286","1.94713524309793"
2019,"Eólica","3746.7087","2.14763299090976"
2020,"Eólica","4188.111","2.48142117870344"
2021,"Eólica","4865.935","2.75160269129361"
2022,"Eólica","5495.7437","3.05626085489991"
2023,"Eólica","6040.359","3.29659809479056"
1800,"Nuclear","0","0"
1810,"Nuclear","0","0"
1820,"Nuclear","0","0"
1830,"Nuclear","0","0"
1840,"Nuclear","0","0"
1850,"Nuclear","0","0"
1860,"Nuclear","0","0"
1870,"Nuclear","0","0"
1880,"Nuclear","0","0"
1890,"Nuclear","0","0"
1900,"Nuclear","0","0"
1910,"Nuclear","0","0"
1920,"Nuclear","0","0"
1930,"Nuclear","0","0"
1940,"Nuclear","0","0"
1950,"Nuclear","0","0"
1960,"Nuclear","0","0"
1965,"Nuclear","72.469345","0.13797543123032"
1966,"Nuclear","97.70497","0.177802411102324"
1967,"Nuclear","116.35517","0.205264561375853"
1968,"Nuclear","147.87189","0.24819657165642"
1969,"Nuclear","175.31134","0.277883009067797"
1970,"Nuclear","223.80801","0.335999630915904"
1971,"Nuclear","311.28723","0.45154916949789"
1972,"Nuclear","431.79926","0.597621439977669"
1973,"Nuclear","578.5737","0.761906744063532"
1974,"Nuclear","756.48175","0.990758934744925"
1975,"Nuclear","1049.4497","1.36520644476963"
1976,"Nuclear","1227.7115","1.52478071186991"
1977,"Nuclear","1528.1375","1.83821571010501"
1978,"Nuclear","1775.7009","2.06335189257143"
1979,"Nuclear","1846.8246","2.08337280977924"
1980,"Nuclear","2020.0956","2.29547850635486"
1981,"Nuclear","2385.6428","2.71816903679046"
1982,"Nuclear","2588.3174","2.95837493360835"
1983,"Nuclear","2933.459","3.2988957924056"
1984,"Nuclear","3559.8567","3.84598914773054"
1985,"Nuclear","4224.8374","4.45303221538155"
1986,"Nuclear","4525.0864","4.67172126630816"
1987,"Nuclear","4922.331","4.91784166807184"
1988,"Nuclear","5366.448","5.18334476557576"
1989,"Nuclear","5518.996","5.23411838916633"
1990,"Nuclear","5676.7207","5.32246984224097"
1991,"Nuclear","5948.311","5.53064359983507"
1992,"Nuclear","5993.4634","5.53658695957067"
1993,"Nuclear","6199.8696","5.6793440075465"
1994,"Nuclear","6316.248","5.71376192270162"
1995,"Nuclear","6590.213","5.8401916613637"
1996,"Nuclear","6828.8057","5.89219773849102"
1997,"Nuclear","6781.843","5.79202706906723"
1998,"Nuclear","6898.552","5.85412974631951"
1999,"Nuclear","7161.0522","5.9753799970172"
2000,"Nuclear","7322.6826","5.95979375662658"
2001,"Nuclear","7480.557","6.03535663597162"
2002,"Nuclear","7551.0767","5.97965433538448"
2003,"Nuclear","7350.6562","5.64830238410183"
2004,"Nuclear","7635.7695","5.61912409485625"
2005,"Nuclear","7607.3535","5.43573116748766"
2006,"Nuclear","7653.7217","5.33428439526544"
2007,"Nuclear","7450.836","5.05368948024297"
2008,"Nuclear","7381.6016","4.95543452761895"
2009,"Nuclear","7232.23","4.92996328302682"
2010,"Nuclear","7373.091","4.81509427670323"
2011,"Nuclear","7021.4863","4.49343685073975"
2012,"Nuclear","6500.3687","4.10932505908484"
2013,"Nuclear","6512.8066","4.05455926659218"
2014,"Nuclear","6606.008","4.07499034300323"
2015,"Nuclear","6655.106","4.07922106428568"
2016,"Nuclear","6714.155","4.07613325745158"
2017,"Nuclear","6734.279","3.99985555358318"
2018,"Nuclear","6855.408","3.97116976977958"
2019,"Nuclear","7071.7817","4.05358219693779"
2020,"Nuclear","6776.8657","4.0152369584304"
2021,"Nuclear","7037.07","3.97934225402138"
2022,"Nuclear","6703.874","3.72811921385294"
2023,"Nuclear","6824.1772","3.72437624254339"
1800,"Hidro","0","0"
1810,"Hidro","0","0"
1820,"Hidro","0","0"
1830,"Hidro","0","0"
1840,"Hidro","0","0"
1850,"Hidro","0","0"
1860,"Hidro","0","0"
1870,"Hidro","0","0"
1880,"Hidro","0","0"
1890,"Hidro","38.88889","0.363995642414435"
1900,"Hidro","47.22222","0.38926184966052"
1910,"Hidro","91.666664","0.584770434105475"
1920,"Hidro","177.77777","0.983459398914766"
1930,"Hidro","363.8889","1.81310869139888"
1940,"Hidro","533.3333","2.33208940988236"
1950,"Hidro","925","3.23834196891192"
1960,"Hidro","1913.8889","4.57716072422051"
1965,"Hidro","2729.8865","5.19747028274272"
1966,"Hidro","2909.136","5.29401314001294"
1967,"Hidro","2973.9692","5.24644056111385"
1968,"Hidro","3132.3052","5.25743880071848"
1969,"Hidro","3316.9805","5.25768910533229"
