"anio","iso3","valor_en_gco2_por_kwh"
"1996","BGR","459.4658"
"1997","BGR","488.4922"
"1998","BGR","485.75574"
"1999","BGR","476.14026"
"2000","BFA","487.17944"
"2001","BFA","555.55554"
"2002","BFA","555.55554"
"2003","BFA","511.1111"
"2004","BFA","510.63828"
"2005","BFA","538.4616"
"2006","BFA","563.63635"
"2007","BFA","540.98364"
"2008","BFA","524.59015"
"2009","BFA","542.8571"
"2010","BFA","517.2414"
"2011","BFA","555.5556"
"2012","BFA","546.875"
"2013","BFA","546.6667"
"2014","BFA","579.5454"
"2015","BFA","594.05945"
"2016","BFA","555.55554"
"2017","BFA","562.5"
"2018","BFA","518.1818"
"2019","BFA","487.49997"
"2020","BFA","472.97296"
"2021","BFA","473.68423"
"2022","BFA","467.5325"
"2023","BFA",
"1990","BFA",
"1991","BFA",
"1992","BFA",
"1993","BFA",
"1994","BFA",
"1995","BFA",
"1996","BFA",
"1997","BFA",
"1998","BFA",
"1999","BFA",
"2000","BDI","0"
"2001","BDI","0"
"2002","BDI","0"
"2003","BDI","0"
"2004","BDI","0"
"2005","BDI","0"
"2006","BDI","0"
"2007","BDI","0"
"2008","BDI","0"
"2009","BDI","0"
"2010","BDI","62.5"
"2011","BDI","66.666664"
"2012","BDI","0"
"2013","BDI","58.82353"
"2014","BDI","111.111115"
"2015","BDI","111.111115"
"2016","BDI","55.555557"
"2017","BDI","178.57143"
"2018","BDI","259.25928"
"2019","BDI","250.00002"
"2020","BDI","212.12122"
"2021","BDI","250.00002"
"2022","BDI","250.00002"
"2023","BDI",
"1990","BDI",
"1991","BDI",
"1992","BDI",
"1993","BDI",
"1994","BDI",
"1995","BDI",
"1996","BDI",
"1997","BDI",
"1998","BDI",
"1999","BDI",
"2000","KHM","545.4546"
"2001","KHM","571.4286"
"2002","KHM","631.579"
"2003","KHM","609.375"
"2004","KHM","618.4211"
"2005","KHM","621.0526"
"2006","KHM","623.93164"
"2007","KHM","624.1611"
"2008","KHM","628.37836"
"2009","KHM","634.9206"
"2010","KHM","633.6634"
"2011","KHM","622.64154"
"2012","KHM","424.65753"
"2013","KHM","314.91714"
"2014","KHM","337.62057"
"2015","KHM","480.34937"
"2016","KHM","460.733"
"2017","KHM","512.40875"
"2018","KHM","371.98068"
"2019","KHM","447.3386"
"2020","KHM","437.6392"
"2021","KHM","415.11624"
"2022","KHM","417.70712"
"2023","KHM",
"1990","KHM",
"1991","KHM",
"1992","KHM",
"1993","KHM",
"1994","KHM",
"1995","KHM",
"1996","KHM",
"1997","KHM",
"1998","KHM",
"1999","KHM",
"2000","CMR","31.884056"
"2001","CMR","37.037037"
"2002","CMR","45.871563"
"2003","CMR","52.05479"
"2004","CMR","54.05405"
"2005","CMR","60.60606"
"2006","CMR","120.553375"
"2007","CMR","199.61612"
"2008","CMR","193.26242"
"2009","CMR","222.99652"
"2010","CMR","206.48465"
"2011","CMR","192.17688"
"2012","CMR","167.5875"
"2013","CMR","239.7476"
"2014","CMR","281.5675"
"2015","CMR","336.68344"
