geocodigoFundar,geonombreFundar,anio,idp,institucion,ranking
MEX,México,2024,80865,Tecnologico Nacional de Mexico,13
MEX,México,2009,25854,Instituto Mexicano del Petroleo,6
MEX,México,2010,25854,Instituto Mexicano del Petroleo,4
MEX,México,2011,25854,Instituto Mexicano del Petroleo,6
MEX,México,2012,25854,Instituto Mexicano del Petroleo,10
MEX,México,2013,25854,Instituto Mexicano del Petroleo,6
MEX,México,2014,25854,Instituto Mexicano del Petroleo,7
MEX,México,2015,25854,Instituto Mexicano del Petroleo,9
MEX,México,2016,25854,Instituto Mexicano del Petroleo,5
MEX,México,2017,25854,Instituto Mexicano del Petroleo,10
MEX,México,2018,25854,Instituto Mexicano del Petroleo,9
MEX,México,2019,25854,Instituto Mexicano del Petroleo,20
MEX,México,2020,25854,Instituto Mexicano del Petroleo,21
MEX,México,2021,25854,Instituto Mexicano del Petroleo,18
MEX,México,2022,25854,Instituto Mexicano del Petroleo,30
MEX,México,2023,25854,Instituto Mexicano del Petroleo,41
MEX,México,2024,25854,Instituto Mexicano del Petroleo,47
BRA,Brasil,2016,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,23
BRA,Brasil,2018,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,27
BRA,Brasil,2019,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,26
BRA,Brasil,2020,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,28
BRA,Brasil,2022,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,35
BRA,Brasil,2023,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,29
BRA,Brasil,2024,25557,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,48
CHL,Chile,2018,25758,Instituto de Investigaciones Agropecuarias,28
CHL,Chile,2022,25758,Instituto de Investigaciones Agropecuarias,19
CHL,Chile,2023,25758,Instituto de Investigaciones Agropecuarias,26
CHL,Chile,2024,25758,Instituto de Investigaciones Agropecuarias,8
ARG,Argentina,2021,92242,Centro Cientifico Tecnologico de Santa Fe,31
ARG,Argentina,2022,92242,Centro Cientifico Tecnologico de Santa Fe,27
ARG,Argentina,2023,92242,Centro Cientifico Tecnologico de Santa Fe,38
ARG,Argentina,2024,92242,Centro Cientifico Tecnologico de Santa Fe,16
CHL,Chile,2024,25763,Observatorio Europeo Austral,24
BRA,Brasil,2023,94529,Embrapa Recursos Geneticos e Biotecnologia,20
BRA,Brasil,2024,94529,Embrapa Recursos Geneticos e Biotecnologia,36
ARG,Argentina,2019,25461,Instituto de Fisica de la Plata,15
ARG,Argentina,2020,25461,Instituto de Fisica de la Plata,24
ARG,Argentina,2021,25461,Instituto de Fisica de la Plata,28
ARG,Argentina,2022,25461,Instituto de Fisica de la Plata,32
ARG,Argentina,2023,25461,Instituto de Fisica de la Plata,34
ARG,Argentina,2024,25461,Instituto de Fisica de la Plata,14
URY,Uruguay,2024,95897,Ministerio de Educacion y Cultura,44
CUB,Cuba,2009,80127,BioCubaFarma,7
CUB,Cuba,2010,80127,BioCubaFarma,7
