"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"SEN","Senegal",1,"Diferenciado","47.3752063656786"
2020,"SEN","Senegal",2,"No diferenciado","52.6247936343215"
2020,"SGP","Singapore",1,"Diferenciado","66.4210586263097"
2020,"SGP","Singapore",2,"No diferenciado","33.5789413736902"
2020,"SHN","Saint Helena",1,"Diferenciado","54.7965046333103"
2020,"SHN","Saint Helena",2,"No diferenciado","45.2034953666897"
2020,"SLB","Solomon Isds",1,"Diferenciado","37.9885042779279"
2020,"SLB","Solomon Isds",2,"No diferenciado","62.0114957220722"
2020,"SLE","Sierra Leone",1,"Diferenciado","75.3227685870505"
2020,"SLE","Sierra Leone",2,"No diferenciado","24.6772314129495"
2020,"SLV","El Salvador",1,"Diferenciado","61.6887193321358"
2020,"SLV","El Salvador",2,"No diferenciado","38.3112806678642"
2020,"SMR","San Marino",1,"Diferenciado","76.0735131992321"
2020,"SMR","San Marino",2,"No diferenciado","23.9264868007679"
2020,"SOM","Somalia",1,"Diferenciado","69.5059251784894"
2020,"SOM","Somalia",2,"No diferenciado","30.4940748215106"
2020,"SPM","Saint Pierre and Miquelon",1,"Diferenciado","81.1057640052735"
2020,"SPM","Saint Pierre and Miquelon",2,"No diferenciado","18.8942359947265"
2020,"SRB","Serbia",1,"Diferenciado","64.2626189046468"
2020,"SRB","Serbia",2,"No diferenciado","35.7373810953531"
2020,"SSD","South Sudan",1,"Diferenciado","56.1664558137494"
2020,"SSD","South Sudan",2,"No diferenciado","43.8335441862505"
2020,"STP","Sao Tome and Principe",1,"Diferenciado","88.2112611002421"
2020,"STP","Sao Tome and Principe",2,"No diferenciado","11.7887388997579"
2020,"SUR","Suriname",1,"Diferenciado","74.7679627614626"
2020,"SUR","Suriname",2,"No diferenciado","25.2320372385374"
2020,"SVK","Slovakia",1,"Diferenciado","77.2792601111221"
2020,"SVK","Slovakia",2,"No diferenciado","22.7207398888779"
2020,"SVN","Slovenia",1,"Diferenciado","70.1336290146227"
2020,"SVN","Slovenia",2,"No diferenciado","29.8663709853773"
2020,"SWE","Sweden",1,"Diferenciado","72.2096959636737"
2020,"SWE","Sweden",2,"No diferenciado","27.7903040363263"
2020,"SWZ","Eswatini",1,"Diferenciado","53.7216012746374"
2020,"SWZ","Eswatini",2,"No diferenciado","46.2783987253626"
2020,"SXM","Saint Maarten",1,"Diferenciado","85.912257096852"
2020,"SXM","Saint Maarten",2,"No diferenciado","14.087742903148"
2020,"SYC","Seychelles",1,"Diferenciado","80.0165021007443"
2020,"SYC","Seychelles",2,"No diferenciado","19.9834978992557"
2020,"SYR","Syria",1,"Diferenciado","55.9894550712819"
2020,"SYR","Syria",2,"No diferenciado","44.0105449287181"
2020,"TCA","Turks and Caicos Isds",1,"Diferenciado","66.5244896883878"
2020,"TCA","Turks and Caicos Isds",2,"No diferenciado","33.4755103116121"
2020,"TCD","Chad",1,"Diferenciado","86.1900272558526"
2020,"TCD","Chad",2,"No diferenciado","13.8099727441474"
2020,"TGO","Togo",1,"Diferenciado","38.7417433034196"
2020,"TGO","Togo",2,"No diferenciado","61.2582566965804"
2020,"THA","Thailand",1,"Diferenciado","57.303536836568"
2020,"THA","Thailand",2,"No diferenciado","42.696463163432"
2020,"TJK","Tajikistan",1,"Diferenciado","64.4578973047807"
2020,"TJK","Tajikistan",2,"No diferenciado","35.5421026952194"
2020,"TKL","Tokelau",1,"Diferenciado","97.9291016229621"
2020,"TKL","Tokelau",2,"No diferenciado","2.07089837703793"
2020,"TKM","Turkmenistan",1,"Diferenciado","80.7511447755333"
2020,"TKM","Turkmenistan",2,"No diferenciado","19.2488552244667"
