geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
MNG,Mongolia,2020,Mongolia,3,Minerales,61.0638139654334
MDA,Moldavia,2020,Rep. of Moldova,12,Transporte,1.14546695343269
OMN,Omán,2020,Oman,8,"Textiles, indumentaria y calzado",0.542880905535585
NRU,Nauru,2020,Nauru,13,Otros productos industriales,0.554766247081531
NPL,Nepal,2020,Nepal,7,Madera,0.761938985855156
VUT,Vanuatu,2020,Vanuatu,10,Metales,0.1900279115988
NFK,Isla Norfolk,2020,Norfolk Isds,10,Metales,11.8912633031122
PAN,Panamá,2020,Panama,9,Piedra y vidrio,1.9418227424537
PER,Perú,2020,Peru,8,"Textiles, indumentaria y calzado",2.63055411601648
PCN,Pitcairn,2020,Pitcairn,13,Otros productos industriales,0.211450743641986
POL,Polonia,2020,Poland,10,Metales,9.34003199340797
QAT,Qatar,2020,Qatar,4,Químicos,6.88960698410498
SMR,San Marino,2020,San Marino,11,Maquinaria,43.0161416367011
SYC,Seychelles,2020,Seychelles,4,Químicos,0.67188405809007
ZAF,Sudáfrica,2020,South Africa,8,"Textiles, indumentaria y calzado",1.24785360207573
SSD,Sudán del Sur,2020,South Sudan,10,Metales,0.446600912402749
SUR,Suriname,2020,Suriname,3,Minerales,3.54709761911132
TJK,Tayikistán,2020,Tajikistan,8,"Textiles, indumentaria y calzado",12.3289756293221
TGO,Togo,2020,Togo,13,Otros productos industriales,0.337494656135722
TKL,Tokelau,2020,Tokelau,8,"Textiles, indumentaria y calzado",3.21912042306313
TON,Tonga,2020,Tonga,9,Piedra y vidrio,0.243887569003873
ARE,Emiratos Árabes Unidos,2020,United Arab Emirates,8,"Textiles, indumentaria y calzado",1.69079007222033
UGA,Uganda,2020,Uganda,1,Productos agropecuarios,23.1031989359066
WSM,Samoa,2020,Samoa,1,Productos agropecuarios,14.5936882597769
DZA,Argelia,2020,Algeria,1,Productos agropecuarios,0.946580467861258
AGO,Angola,2020,Angola,10,Metales,0.311630606578374
VGB,Islas Vírgenes Británicas,2020,Br. Virgin Isds,8,"Textiles, indumentaria y calzado",0.210925593323576
LKA,Sri Lanka,2020,Sri Lanka,7,Madera,1.56494599140408
CCK,Islas Cocos,2020,Cocos Isds,1,Productos agropecuarios,0.880824569613682
COM,Comoras,2020,Comoros,13,Otros productos industriales,1.83119502440888
CUB,Cuba,2020,Cuba,2,Alimentos procesados,48.7148532463246
DNK,Dinamarca,2020,Denmark,3,Minerales,2.77696364970348
GNQ,Guinea Ecuatorial,2020,Equatorial Guinea,1,Productos agropecuarios,0.013980593066739
ETH,Etiopía,2020,Ethiopia,1,Productos agropecuarios,65.9377261314001
ERI,Eritrea,2020,Eritrea,9,Piedra y vidrio,43.2483070979042
PSE,Palestina,2020,State of Palestine,9,Piedra y vidrio,18.9030006459277
GHA,Ghana,2020,Ghana,1,Productos agropecuarios,6.65813206757913
GRC,Grecia,2020,Greece,4,Químicos,14.2449159304635
GRL,Groenlandia,2020,Greenland,1,Productos agropecuarios,80.6102200722796
GRD,Granada,2020,Grenada,8,"Textiles, indumentaria y calzado",0.745053433665956
GUY,Guyana,2020,Guyana,10,Metales,0.2123513246779
JPN,Japón,2020,Japan,7,Madera,0.769208008973746
LSO,Lesotho,2020,Lesotho,10,Metales,0.196921584115563
LBR,Liberia,2020,Liberia,11,Maquinaria,0.569298401149106
MAC,Macao,2020,"China, Macao SAR",8,"Textiles, indumentaria y calzado",17.7614818881707
MYS,Malasia,2020,Malaysia,11,Maquinaria,48.9785443546485
MNG,Mongolia,2020,Mongolia,13,Otros productos industriales,0.0565567494482883
MSR,Montserrat,2020,Montserrat,10,Metales,1.40830124194504
NAM,Namibia,2020,Namibia,1,Productos agropecuarios,18.3816448484656
NLD,Países Bajos,2020,Netherlands,9,Piedra y vidrio,0.874730238317703
NOR,Noruega,2020,Norway,1,Productos agropecuarios,13.971110472006
MNP,Islas Marianas,2020,N. Mariana Isds,9,Piedra y vidrio,1.74175058981402
MHL,Islas Marshall,2020,Marshall Isds,11,Maquinaria,1.64764623268987
PAK,Pakistán,2020,Pakistan,3,Minerales,3.75351857576935
TLS,Timor-Leste,2020,Timor-Leste,8,"Textiles, indumentaria y calzado",0.0735958462982791
SHN,Santa Elena,2020,Saint Helena,13,Otros productos industriales,2.85776303738404
KNA,Saint Kitts y Nevis,2020,Saint Kitts and Nevis,11,Maquinaria,63.7481160313522
AIA,Anguila,2020,Anguilla,2,Alimentos procesados,2.37049311297257
VCT,San Vicente y las Granadinas,2020,Saint Vincent and the Grenadines,1,Productos agropecuarios,11.3845358659894
SMR,San Marino,2020,San Marino,10,Metales,3.5148926600487
SEN,Senegal,2020,Senegal,11,Maquinaria,2.09476937447256
VNM,Vietnam,2020,Viet Nam,7,Madera,1.92358529876186
ZWE,Zimbabwe,2020,Zimbabwe,4,Químicos,0.380172541550425
ESP,España,2020,Spain,3,Minerales,4.66458587159525
SSD,Sudán del Sur,2020,South Sudan,9,Piedra y vidrio,12.926856938489
CHE,Suiza,2020,Switzerland,9,Piedra y vidrio,26.8206997882578
SYR,Siria,2020,Syria,3,Minerales,4.92985134252604
TTO,Trinidad y Tobago,2020,Trinidad and Tobago,3,Minerales,41.8407029291195
UGA,Uganda,2020,Uganda,10,Metales,1.88888915246032
UKR,Ucrania,2020,Ukraine,3,Minerales,10.8707081220945
GBR,Reino Unido,2020,United Kingdom,3,Minerales,7.53008388857295
TZA,Tanzanía,2020,United Rep. of Tanzania,7,Madera,1.51803702727399
USA,Estados Unidos,2020,USA,10,Metales,4.23573007790821
VEN,Venezuela,2020,Venezuela,8,"Textiles, indumentaria y calzado",0.292004239445036
AFG,Afganistán,2020,Afghanistan,13,Otros productos industriales,0.227267965467027
ALB,Albania,2020,Albania,4,Químicos,1.37149884894888
BHS,Bahamas,2020,Bahamas,6,Cueros y pieles,0.0057563489191151
BMU,Bermuda,2020,Bermuda,8,"Textiles, indumentaria y calzado",0.883807878561156
VGB,Islas Vírgenes Británicas,2020,Br. Virgin Isds,11,Maquinaria,2.14560003956801
BRN,Brunei,2020,Brunei Darussalam,10,Metales,0.412800613596976
BLR,Belarús,2020,Belarus,4,Químicos,14.8413096850171
KHM,Camboya,2020,Cambodia,4,Químicos,0.189342175085285
CPV,Cabo Verde,2020,Cabo Verde,11,Maquinaria,3.2925008494658
CAF,Rep. Centroafricana,2020,Central African Rep.,12,Transporte,7.6590731291875
CHN,China,2020,China,10,Metales,6.79331511173232
COK,Islas Cook,2020,Cook Isds,11,Maquinaria,1.86596634465621
CUB,Cuba,2020,Cuba,4,Químicos,2.36696158345583
CZE,Chequia,2020,Czechia,8,"Textiles, indumentaria y calzado",3.12988577957624
DOM,Rep. Dominicana,2020,Dominican Rep.,5,Plásticos y gomas,6.0654367322972
