"anio","provincia_id","provincia","prop_industrial"
"2020","42","La Pampa","0.0478319171570621"
"2020","46","La Rioja","0.205760761111243"
"2020","50","Mendoza","0.229031772671894"
"2020","54","Misiones","0.201196876469574"
"2020","58","Neuquén","0.0538434649661884"
"2020","62","Río Negro","0.0722377808965589"
"2020","66","Salta","0.121614334863523"
"2020","70","San Juan","0.176503053280132"
"2020","74","San Luis","0.357426111389546"
"2020","78","Santa Cruz","0.0293854984149753"
"2020","82","Santa Fe","0.237896096979572"
"2020","86","Santiago del Estero","0.0839771697042587"
"2020","94","Tierra del Fuego","0.284375865676973"
"2020","90","Tucumán","0.14191862423684"
"2021","6","Buenos Aires","0.300497457221322"
"2021","2","CABA","0.12294061512054"
"2021","10","Catamarca","0.128181798443267"
"2021","22","Chaco","0.0840728491648816"
"2021","26","Chubut","0.156692641497198"
"2021","18","Corrientes","0.0897811726122565"
"2021","14","Córdoba","0.175688425185263"
"2021","30","Entre Ríos","0.156839134106039"
"2021","34","Formosa","0.0624606804758744"
"2021","38","Jujuy","0.133120278886133"
"2021","42","La Pampa","0.0534618674012495"
"2021","46","La Rioja","0.199491645897868"
"2021","50","Mendoza","0.236770020516572"
"2021","54","Misiones","0.193041437669525"
"2021","58","Neuquén","0.0564863529623434"
"2021","62","Río Negro","0.0710241841746158"
"2021","66","Salta","0.119682907144119"
"2021","70","San Juan","0.179595059030926"
"2021","74","San Luis","0.374916810831349"
"2021","78","Santa Cruz","0.0269787052359129"
"2021","82","Santa Fe","0.251118835075907"
"2021","86","Santiago del Estero","0.0942596243000945"
"2021","94","Tierra del Fuego","0.291138088239614"
"2021","90","Tucumán","0.143855949917211"
"2022","6","Buenos Aires","0.300253776241206"
"2022","2","CABA","0.121111216656058"
"2022","10","Catamarca","0.121927295148643"
"2022","22","Chaco","0.0795794835246336"
"2022","26","Chubut","0.154057216717367"
"2022","18","Corrientes","0.08869332947136"
"2022","14","Córdoba","0.1807451567419"
"2022","30","Entre Ríos","0.152762905615813"
"2022","34","Formosa","0.0609826386336661"
"2022","38","Jujuy","0.131528287881362"
"2022","42","La Pampa","0.0533833945208944"
"2022","46","La Rioja","0.191955408445108"
"2022","50","Mendoza","0.231263185669961"
"2022","54","Misiones","0.188735197670671"
"2022","58","Neuquén","0.0509150479266641"
"2022","62","Río Negro","0.0714949463141608"
"2022","66","Salta","0.116046759029861"
"2022","70","San Juan","0.174739214665075"
"2022","74","San Luis","0.365755125294664"
"2022","78","Santa Cruz","0.0286046748659108"
"2022","82","Santa Fe","0.260035664512803"
"2022","86","Santiago del Estero","0.0924483697975969"
"2022","94","Tierra del Fuego","0.29367630569838"
"2022","90","Tucumán","0.14313213855564"
"2023","6","Buenos Aires","0.30021858535083"
"2023","2","CABA","0.119227239383883"
"2023","10","Catamarca","0.112987737807971"
"2023","22","Chaco","0.0835833410830907"
"2023","26","Chubut","0.151946608618962"
"2023","18","Corrientes","0.0838940042344094"
"2023","14","Córdoba","0.191762557643502"
"2023","30","Entre Ríos","0.153470015876789"
"2023","34","Formosa","0.0586004566693563"
"2023","38","Jujuy","0.121472623971772"
"2023","42","La Pampa","0.0551952230835535"
"2023","46","La Rioja","0.193613270589654"
"2023","50","Mendoza","0.226608083587877"
"2023","54","Misiones","0.18629520121597"
"2023","58","Neuquén","0.0466639438357524"
"2023","62","Río Negro","0.0699555514449289"
"2023","66","Salta","0.112442923283711"
"2023","70","San Juan","0.166811494628117"
"2023","74","San Luis","0.368507121537227"
"2023","78","Santa Cruz","0.0273088663714617"
"2023","82","Santa Fe","0.26325649616124"
"2023","86","Santiago del Estero","0.102258703177789"
"2023","94","Tierra del Fuego","0.277168105736001"
"2023","90","Tucumán","0.138397212735668"
