"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2012","TKM","Turkmenistán","Manufacturas de media tecnología","0.241","16.7013167013167"
"2012","UGA","Uganda","Manufacturas en basadas en RRNN","0.1","100"
"2013","AFG","Afganistán","Manufacturas en basadas en RRNN","0.122","0.0276330690826727"
"2013","AFG","Afganistán","Manufacturas de baja tecnología","4.484","1.01562853907135"
"2013","ALB","Albania","Manufacturas de alta tecnología","1.247","0.802316229692778"
"2013","ALB","Albania","Manufacturas de media tecnología","0.529","0.34035708541097"
"2013","DZA","Argelia","Productos primarios","9.393","89.5509581466298"
"2013","DZA","Argelia","Manufacturas en basadas en RRNN","0.876","8.35160644484698"
"2013","ASM","Samoa Americana","Manufacturas de media tecnología","42.454","96.2719397705111"
"2013","ASM","Samoa Americana","Manufacturas de alta tecnología","1.644","3.72806022948887"
"2013","AND","Andorra","Manufacturas de alta tecnología","6.513","2.70342068015126"
"2013","AND","Andorra","Manufacturas de media tecnología","170.358","70.7123200106261"
"2013","AGO","Angola","Productos primarios","1.705","13.09926244622"
"2013","AZE","Azerbaiyán","Manufacturas en basadas en RRNN","31.538","35.1312213162233"
"2013","BHS","Bahamas","Manufacturas de media tecnología","7390.044","27.6786479416797"
"2013","BHR","Bahrein","Manufacturas de media tecnología","6279.518","89.9061825696615"
"2013","ARM","Armenia","Manufacturas en basadas en RRNN","0.248","17.7650429799427"
"2013","ARM","Armenia","Manufacturas de baja tecnología","0.56","40.1146131805158"
"2013","BRB","Barbados","Manufacturas de media tecnología","0.075","15.2439024390244"
"2013","BRB","Barbados","Manufacturas de alta tecnología","0.133","27.0325203252033"
"2013","BLZ","Belice","Productos primarios","4.035","6.77092947158223"
"2013","BLZ","Belice","Manufacturas en basadas en RRNN","55.388","92.9438021244106"
"2013","BRN","Brunei","Manufacturas de baja tecnología","6.128","34.2556878528705"
"2013","MMR","Myanmar","Productos primarios","156.695","1.20684914520468"
"2013","MMR","Myanmar","Manufacturas de baja tecnología","12823.144","98.7625666118035"
"2013","BLR","Belarús","Manufacturas de media tecnología","970.742","13.1865627037601"
"2013","BLR","Belarús","Manufacturas de alta tecnología","31.18","0.423549228428602"
"2013","CMR","Camerún","Manufacturas de media tecnología","0.224","0.0722212549732717"
"2013","CMR","Camerún","Manufacturas de alta tecnología","0.63","0.203122279612327"
"2013","COM","Comoras","Productos primarios","1.169","4.33251797494626"
"2013","COM","Comoras","Manufacturas en basadas en RRNN","25.813","95.6674820250537"
"2013","COG","Congo","Manufacturas en basadas en RRNN","34.371","14.7858968071652"
"2013","COG","Congo","Manufacturas de baja tecnología","0.005","0.0021509261888169"
"2013","COD","Rep. Dem. Congo","Manufacturas de media tecnología","0.281","100"
"2013","CUB","Cuba","Manufacturas de alta tecnología","6028.419","53.3331758574628"
"2013","CUB","Cuba","Manufacturas de media tecnología","3565.92","31.5475481139655"
"2013","CYP","Chipre","Productos primarios","5.571","3.20904592662569"
"2013","CYP","Chipre","Manufacturas de baja tecnología","21.448","12.3546252080897"
"2013","SLV","El Salvador","Productos primarios","8.978","2.54068693065889"
"2013","SLV","El Salvador","Manufacturas en basadas en RRNN","6.492","1.83717304007992"
"2013","SLV","El Salvador","Manufacturas de baja tecnología","269.143","76.1648588302879"
"2013","GNQ","Guinea Ecuatorial","Manufacturas en basadas en RRNN","30.896","100"
"2013","FJI","Fiji","Productos primarios","43.484","83.7567656066414"
"2013","FJI","Fiji","Manufacturas en basadas en RRNN","8.433","16.2432343933586"
"2013","GAB","Gabón","Manufacturas de media tecnología","578.456","25.9639484362096"
"2013","GEO","Georgia","Manufacturas en basadas en RRNN","317.977","83.3489296227271"
"2013","GEO","Georgia","Manufacturas de baja tecnología","0.776","0.203407068395627"
"2013","PSE","Palestina","Manufacturas de media tecnología","0.048","100"
"2013","ISL","Islandia","Manufacturas de media tecnología","151.831","19.7495518885718"
"2013","ISL","Islandia","Manufacturas de alta tecnología","3.905","0.50794633589236"
"2013","KAZ","Kazajstán","Manufacturas de media tecnología","181.997","3.96886007226061"
"2013","KAZ","Kazajstán","Manufacturas de alta tecnología","13.696","0.298672547073201"
"2013","JOR","Jordania","Manufacturas de media tecnología","182.802","2.28310376817908"
"2013","KEN","Kenia","Productos primarios","283.738","92.1724046076782"
"2013","KEN","Kenia","Manufacturas en basadas en RRNN","0.228","0.0740658926564317"
"2013","KEN","Kenia","Manufacturas de baja tecnología","0.542","0.176068920262219"
"2013","LBY","Libia","Manufacturas en basadas en RRNN","11707.121","100"
"2013","MLT","Malta","Manufacturas de media tecnología","1681.968","38.0109370529619"
"2013","MLT","Malta","Manufacturas de alta tecnología","905.428","20.461843931626"
"2013","MUS","Mauricio","Manufacturas en basadas en RRNN","0.53","0.190341429428222"
"2013","MUS","Mauricio","Manufacturas de baja tecnología","111.558","40.0643569512331"
"2013","MDA","Moldavia","Manufacturas en basadas en RRNN","4.059","40.4766653370562"
"2013","MDA","Moldavia","Manufacturas de baja tecnología","1.144","11.4080574391703"
"2013","MNE","Montenegro","Manufacturas de media tecnología","0.077","100"
"2013","CUW","Curazao","Manufacturas en basadas en RRNN","5003.898","99.506889958528"
"2013","NIC","Nicaragua","Productos primarios","0.388","0.101985296243629"
"2013","NIC","Nicaragua","Manufacturas en basadas en RRNN","44.508","11.6988700134316"
"2013","NIC","Nicaragua","Manufacturas de baja tecnología","333.041","87.5393944491611"
"2013","NER","Níger","Productos primarios","20.301","81.0678060857759"
"2013","NER","Níger","Manufacturas en basadas en RRNN","0.035","0.139765194473285"
"2013","NGA","Nigeria","Manufacturas de media tecnología","37.453","0.0143344409198705"
