"geocodigoFundar","geonombreFundar","cadena","share"
"AR-R","Río Negro","Cítricos dulces","5.91000"
"AR-R","Río Negro","Fruta de carozo","14.14000"
"AR-R","Río Negro","Frutas finas","9.42000"
"AR-R","Río Negro","Girasol","0.11000"
"AR-R","Río Negro","Hortícola","7.63000"
"AR-R","Río Negro","Legumbres","0.00000"
"AR-R","Río Negro","Limón","0.06000"
"AR-R","Río Negro","Láctea","0.29000"
"AR-R","Río Negro","Maicera","0.24000"
"AR-R","Río Negro","Maní","0.48000"
"AR-R","Río Negro","Olivícola","0.87000"
"AR-R","Río Negro","Ovina","8.14000"
"AR-R","Río Negro","Peras y Manzanas","74.71000"
"AR-R","Río Negro","Pesca","2.11000"
"AR-R","Río Negro","Porcina","0.52000"
"AR-R","Río Negro","Sojera","0.11000"
"AR-R","Río Negro","Sorgo","0.33000"
"AR-R","Río Negro","Tabacalera","0.02000"
"AR-R","Río Negro","Tealera","0.27000"
"AR-R","Río Negro","Triguera","1.03000"
"AR-R","Río Negro","Vitivinícola","0.45000"
"AR-R","Río Negro","Yerba mate","0.04000"
"AR-S","Santa Fe","Algodón textil","5.11000"
"AR-S","Santa Fe","Apícola","7.99000"
"AR-S","Santa Fe","Arrocera","15.64000"
"AR-S","Santa Fe","Avícola","6.15000"
"AR-S","Santa Fe","Azucarera","2.83000"
"AR-S","Santa Fe","Bovina","13.15000"
"AR-S","Santa Fe","Caprina","0.46000"
"AR-S","Santa Fe","Cebada","10.77000"
"AR-S","Santa Fe","Cítricos dulces","1.15000"
"AR-S","Santa Fe","Fruta de carozo","1.16000"
"AR-S","Santa Fe","Frutas finas","3.16000"
"AR-S","Santa Fe","Girasol","29.66000"
"AR-S","Santa Fe","Hortícola","1.91000"
"AR-S","Santa Fe","Legumbres","7.31000"
"AR-S","Santa Fe","Limón","0.32000"
"AR-S","Santa Fe","Láctea","26.51000"
"AR-S","Santa Fe","Maicera","11.99000"
"AR-S","Santa Fe","Maní","1.95000"
"AR-S","Santa Fe","Olivícola","0.27000"
"AR-S","Santa Fe","Ovina","0.58000"
"AR-S","Santa Fe","Peras y Manzanas","0.18000"
"AR-S","Santa Fe","Pesca","0.15000"
"AR-S","Santa Fe","Porcina","16.75000"
"AR-S","Santa Fe","Sojera","55.63000"
"AR-S","Santa Fe","Sorgo","10.05000"
"AR-S","Santa Fe","Tabacalera","2.62000"
"AR-S","Santa Fe","Tealera","5.74000"
"AR-S","Santa Fe","Triguera","11.63000"
"AR-S","Santa Fe","Vitivinícola","0.43000"
"AR-S","Santa Fe","Yerba mate","0.13000"
"AR-T","Tucumán","Algodón textil","2.21000"
"AR-T","Tucumán","Apícola","1.52000"
"AR-T","Tucumán","Arrocera","0.06000"
"AR-T","Tucumán","Avícola","0.26000"
"AR-T","Tucumán","Azucarera","30.69000"
"AR-T","Tucumán","Bovina","0.94000"
"AR-T","Tucumán","Caprina","0.12000"
"AR-T","Tucumán","Cebada","0.36000"
"AR-T","Tucumán","Cítricos dulces","6.56000"
"AR-T","Tucumán","Fruta de carozo","11.33000"
"AR-T","Tucumán","Frutas finas","4.94000"
"AR-T","Tucumán","Girasol","0.32000"
"AR-T","Tucumán","Hortícola","11.22000"
"AR-T","Tucumán","Legumbres","3.45000"
"AR-T","Tucumán","Limón","83.80000"
"AR-T","Tucumán","Láctea","0.80000"
"AR-T","Tucumán","Maicera","1.63000"
"AR-T","Tucumán","Maní","1.41000"
"AR-T","Tucumán","Olivícola","0.61000"
"AR-T","Tucumán","Ovina","0.08000"
"AR-T","Tucumán","Peras y Manzanas","0.56000"
"AR-T","Tucumán","Pesca","0.00000"
"AR-T","Tucumán","Porcina","0.37000"
"AR-T","Tucumán","Sojera","0.71000"
"AR-T","Tucumán","Sorgo","1.13000"
"AR-T","Tucumán","Tabacalera","0.80000"
"AR-T","Tucumán","Tealera","0.66000"
"AR-T","Tucumán","Triguera","2.31000"
"AR-T","Tucumán","Vitivinícola","0.42000"
"AR-T","Tucumán","Yerba mate","0.11000"
"AR-U","Chubut","Algodón textil","0.50000"
"AR-U","Chubut","Apícola","0.55000"
"AR-U","Chubut","Arrocera","0.01000"
"AR-U","Chubut","Avícola","0.04000"
"AR-U","Chubut","Azucarera","0.14000"
"AR-U","Chubut","Bovina","0.47000"
"AR-U","Chubut","Caprina","0.94000"
"AR-U","Chubut","Cebada","0.23000"
"AR-U","Chubut","Cítricos dulces","0.13000"
"AR-U","Chubut","Fruta de carozo","0.21000"
"AR-U","Chubut","Frutas finas","3.90000"
"AR-U","Chubut","Girasol","0.03000"
"AR-U","Chubut","Hortícola","0.40000"
"AR-U","Chubut","Legumbres","0.00000"
"AR-U","Chubut","Limón","0.02000"
"AR-U","Chubut","Láctea","0.16000"
"AR-U","Chubut","Maicera","0.05000"
"AR-U","Chubut","Maní","0.15000"
"AR-U","Chubut","Olivícola","0.03000"
"AR-U","Chubut","Ovina","31.08000"
"AR-U","Chubut","Peras y Manzanas","0.11000"
"AR-U","Chubut","Pesca","33.88000"
"AR-U","Chubut","Porcina","0.48000"
"AR-U","Chubut","Sojera","0.03000"
"AR-U","Chubut","Sorgo","0.06000"
"AR-U","Chubut","Tabacalera","0.01000"
"AR-U","Chubut","Tealera","0.11000"
"AR-U","Chubut","Triguera","0.78000"
"AR-U","Chubut","Vitivinícola","0.05000"
"AR-U","Chubut","Yerba mate","0.01000"
"AR-V","Tierra del Fuego","Algodón textil","0.37000"
"AR-V","Tierra del Fuego","Apícola","0.00000"
"AR-V","Tierra del Fuego","Arrocera","0.00000"
"AR-V","Tierra del Fuego","Avícola","0.00000"
"AR-V","Tierra del Fuego","Azucarera","0.00000"
"AR-V","Tierra del Fuego","Bovina","0.06000"
"AR-V","Tierra del Fuego","Caprina","0.00000"
"AR-V","Tierra del Fuego","Cebada","0.01000"
